component,explained_variance_ratio,cumulative_explained_variance_ratio
218,0.0013305654,0.8808226
219,0.0013229479,0.8821455
220,0.0013176498,0.88346314
221,0.0013024275,0.88476557
222,0.0012974327,0.886063
223,0.0012879274,0.8873509
224,0.0012807682,0.8886317
225,0.0012759384,0.88990766
226,0.0012702069,0.8911779
227,0.0012572272,0.89243513
228,0.0012571502,0.89369226
229,0.0012439444,0.8949362
230,0.0012384087,0.8961746
231,0.0012245764,0.8973992
232,0.0012211117,0.8986203
233,0.0012168143,0.89983714
234,0.001197077,0.90103424
235,0.0011888846,0.9022231
236,0.0011800426,0.90340316
237,0.0011712796,0.90457445
238,0.0011592159,0.90573364
239,0.0011479094,0.9068816
240,0.001134628,0.9080162
241,0.0011309118,0.90914714
242,0.001125146,0.9102723
243,0.0011204662,0.91139275
244,0.001108034,0.9125008
245,0.0010936777,0.9135945
246,0.0010837205,0.9146782
247,0.0010764705,0.9157547
248,0.001068343,0.916823
249,0.0010601213,0.91788316
250,0.0010453023,0.91892844
251,0.0010438409,0.9199723
252,0.0010299894,0.92100227
253,0.0010216478,0.9220239
254,0.0010099454,0.92303383
255,0.0010054524,0.9240393
256,0.0010000252,0.92503935
