documents,input_dimension,output_dimension,pca_sample_size,cumulative_explained_variance_ratio,input_bytes_per_vector,output_bytes_per_vector,compression_ratio,pca_fit_time_seconds,transform_time_seconds,embeddings_path,pca_model_path
500000,384,128,100000,0.7205355167388916,1536,512,3.0,1.9019621959999995,3.416344410000022,data/embeddings/e5_small_v2_pca128_embeddings.npy,data/embeddings/e5_small_v2_pca.joblib
500000,384,256,100000,0.9250392913818359,1536,1024,1.5,1.9019621959999995,5.993960891000029,data/embeddings/e5_small_v2_pca256_embeddings.npy,data/embeddings/e5_small_v2_pca.joblib
