system,documents,M,efConstruction,efSearch,ann_recall_at_10,mean_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,index_build_time_seconds,index_size_mb,index_vectors,process_ram_mb,results_path
hnsw_m32_efc200_efs32,500000,32,200,32,0.9519999999999998,0.13655652000096552,0.17029140000204276,0.03854100000211247,0.19770799999463406,36.26713125,862.1845417022705,500000,3265.703125,results/hnsw/hnsw_m32_efc200_efs32_top20.csv
hnsw_m32_efc200_efs64,500000,32,200,64,0.976,0.2101232399988362,0.294674600003475,0.056416000006720424,0.29995799999937844,36.26713125,862.1845417022705,500000,3266.140625,results/hnsw/hnsw_m32_efc200_efs64_top20.csv
hnsw_m32_efc200_efs128,500000,32,200,128,0.9880000000000001,0.35643164000134675,0.49140819999848867,0.08724999999998317,0.4998329999992279,36.26713125,862.1845417022705,500000,3266.234375,results/hnsw/hnsw_m32_efc200_efs128_top20.csv
