system,documents,M,efConstruction,efSearch,ann_recall_at_10,mean_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,index_build_time_seconds,index_size_mb,index_vectors,process_ram_mb,results_path
hnsw_m32_efc200_efs32,500000,32,200,32,0.956,0.15283192000424606,0.1861399999143032,0.08734800030651968,0.21647099993060692,56.54524415200012,862.1845417022705,500000,3812.40625,results/hnsw/hnsw_m32_efc200_efs32_top20.csv
hnsw_m32_efc200_efs64,500000,32,200,64,0.9719999999999999,0.27766060000431025,0.35321940031280974,0.16742700017857715,0.3892469999300374,56.54524415200012,862.1845417022705,500000,3402.2578125,results/hnsw/hnsw_m32_efc200_efs64_top20.csv
hnsw_m32_efc200_efs128,500000,32,200,128,0.992,0.42799815999387647,0.550197200209368,0.31135699964579544,0.5677129997820884,56.54524415200012,862.1845417022705,500000,3402.30078125,results/hnsw/hnsw_m32_efc200_efs128_top20.csv
